"","process","genes","go_term","immune_system","immune_sub_system","gene_set_short","immune_tissue","set_size"
"306","T FOLLICULAR HELPER CELL DIFFERENTIATION","GPR183,RC3H1","GO:0061470","Adaptive","Cellular","Differentiation, Th cell, Follicular","T helper",2
"307","T-HELPER 1 CELL ACTIVATION","HMGB1,CEBPB","GO:0035711","Adaptive","Cellular","Activation, Th1 cell","T helper",2
"308","T-HELPER 1 CELL DIFFERENTIATION","RELB,HMGB1,IL4R","GO:0045063","Adaptive","Cellular","Differentiation, Th1 cell","T helper",3
"309","T-HELPER 1 CELL LINEAGE COMMITMENT","SPN,STAT6,MTOR","GO:0002296","Adaptive","Cellular","Lineage commitment, Th1 cell","T helper",3
"310","T-HELPER 1 TYPE IMMUNE RESPONSE","TLR4,IL18BP,RELB,IL12B,BCL3","GO:0042088","Adaptive","Cellular","Immune response, Th1","T helper",5
"311","T-HELPER 17 CELL CHEMOTAXIS","CCR2","GO:0035705","Adaptive","Cellular","Chemotaxis, Th17 cell","T helper",1
"312","T-HELPER 17 CELL DIFFERENTIATION","RORC,RORA","GO:0072539","Adaptive","Cellular","Differentiation, Th17 cell","T helper",2
"313","T-HELPER 17 CELL LINEAGE COMMITMENT","IL6R,STAT3,IL6ST,JAK1","GO:0072540","Adaptive","Cellular","Lineage commitment, Th17 cell","T helper",4
"314","T-HELPER 17 TYPE IMMUNE RESPONSE","STAT3,NOTCH1,PHB1","GO:0072538","Adaptive","Cellular","Immune response, Th17","T helper",3
"315","T-HELPER 2 CELL ACTIVATION","TNFSF4","GO:0035712","Adaptive","Cellular","Activation, Th2 cell","T helper",1
"316","T-HELPER 2 CELL DIFFERENTIATION","BCL6,IL4R,GATA3,MYB,MEN1,BCL3,KMT2A","GO:0045064","Adaptive","Cellular","Differentiation, Th2 cell","T helper",7
"317","T-HELPER CELL DIFFERENTIATION","PTGER4,ATP7A,IL12B","GO:0042093","Adaptive","Cellular","Differentiation, Th cell","T helper",3
"318","T-HELPER CELL LINEAGE COMMITMENT","ZFPM1","GO:0002295","Adaptive","Cellular","Lineage commitment, Th cell","T helper",1
"319","TCR REPERTOIRE","TRB,TRA,TRBC2,TRDC,TRGC1,TRBV16,TRAV8-3,TRBJ2-7,TRBV25-1,TRGV1,TRAV26-2,TRGV10,TRAV9-1,TRBV6-8,TRDV2,TRAV35,TRGV2,TRBJ2-6,TRBV11-1,TRAV39,TRAV13-1,TRBV6-6,TRBV27,TRBD1,TRAV25,TRAV40,TRBJ1-6,TRAV38-2DV8,TRBV6-3,TRBV10-2,TRBV9,TRBV4-1,TRBV6-5,TRAV2,TRBV10-1,TRAV22,TRBV5-3,TRAV38-1,TRBJ1-2,TRBV6-2,TRBV17,TRAV4,TRBJ1-1,TRAV19,TRBJ2-1,TRBV3-1,TRAV1-2,TRBJ2-2,TRBV5-5,TRAV12-1,TRBV5-6,TRBV10-3,TRAV8-6,TRBJ1-3,TRGV8,TRGV4,TRAV9-2,TRBV5-4,TRDV3,TRBJ2-3,TRBV4-2,TRBV30,TRAV23DV6,TRAJ42,TRAV5,TRBV13,TRBV7-6,TRDD1,TRBV5-7,TRAV26-1,TRBV24-1,TRBV20-1,TRBJ1-5,TRAV8-2,TRGV5,TRAV36DV7,TRBJ2-4,TRDJ1,TRBV7-7,TRBJ2-5,TRBV11-3,TRBV28,TRBV6-7,TRBV7-8,TRAV24,TRAV6,TRBV19,TRAV13-2,TRBV18,TRAV21,TRAJ31,TRBV7-1,TRBV23-1,TRAV27,TRAV7,TRAV1-1,TRGJ1,TRAV10,TRAJ3,TRBV5-8,TRAV14DV4,TRGV11,TRBV12-5,TRAV8-1,TRBV12-4,TRBV6-1,TRBV2,TRBV11-2,TRBV7-2,TRBV7-4,TRBV29-1,TRBV6-4,TRAV18,TRBJ1-4,TRBV4-3,TRAV3,TRAV34,TRAV16,TRBV7-3,TRAV41,TRAV17,TRAV30,TRAV12-2,TRAV12-3,TRAV20,TRBV14,TRAT1,TRBV6-9,TRBV5-1,TRDV1,TRB,TRA,TRBC2,TRDC,TRGC1","Manual","Adaptive","Cellular","BCR REPERTOIRE","T cell",NA
"320","THYMIC T CELL SELECTION","ZAP70,ITPKB,GATA3","GO:0045061","Adaptive","Cellular","Selection, T cell, Thymic","T cell",3
"321","THYMOCYTE MIGRATION","CCL20,CORO1A","GO:0072679","Adaptive","Cellular","Migration, Thymocyte","Thymocyte",2
"322","THYMUS DEVELOPMENT","ABL1,ASXL1,MAP2K1,HAND2,BCL2,MAP2K2,FOXI3,SOD1,PSEN1,CACNB4,TGFBR1,CRKL,MAPK3,EPHB3,SRF,LMO4,GATA3,PBX1,CCNB2,MAPK1,CTNNB1,RAG1,PRDX2,BRAF,TYR","GO:0048538","Adaptive","Cellular","Development, Thymocyte","Thymocyte",25
"323","TIRAP-DEPENDENT TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY","TIRAP","GO:0035665","Innate","PRR","PRR, TIRAP dep, TLR4","All",1
"324","TOLERANCE INDUCTION","LILRB4","GO:0002507","Adaptive","Tolerance","Tolerance, Induction","Undefined",1
"325","TOLERANCE INDUCTION DEPENDENT UPON IMMUNE RESPONSE","PSG9","GO:0002461","Adaptive","Tolerance","Tolerance, Induction, immune response","Undefined",1
"326","TOLERANCE INDUCTION TO LIPOPOLYSACCHARIDE","TNFAIP3,ACOD1","GO:0072573","Adaptive","Tolerance","Tolerance, Induction, LPS","Undefined",2
"327","TOLL-LIKE RECEPTOR 2 SIGNALING PATHWAY","PIK3AP1,TNIP2","GO:0034134","Innate","PRR","PRR, TLR2, Pathway","All",2
"328","TOLL-LIKE RECEPTOR 3 SIGNALING PATHWAY","TNIP2,SCIMP,TICAM1","GO:0034138","Innate","PRR","PRR, TLR3, Pathway","All",3
"329","TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY","TLR4,CD14,NAGLU,PIK3AP1,TRIL,NFKBIA,SCIMP,TIRAP,RELA","GO:0034142","Innate","PRR","PRR, TLR4, Pathway","All",9
"330","TOLL-LIKE RECEPTOR 7 SIGNALING PATHWAY","PIK3AP1,SCIMP","GO:0034154","Innate","PRR","PRR, TLR7, Pathway","All",2
"331","TOLL-LIKE RECEPTOR 9 SIGNALING PATHWAY","TNIP2,PIK3AP1","GO:0034162","Innate","PRR","PRR, TLR9, Pathway","All",2
"332","TOLL-LIKE RECEPTOR SIGNALING PATHWAY","AP3B1,TLR4,FOSL1,RPS6KA3,MAPKAPK2,PLCG2,BCL10,TICAM1,CTSS","GO:0002224","Innate","PRR","PRR, TLR, Pathway","All",9
"333","TOLL-LIKE RECEPTOR TLR1:TLR2 SIGNALING PATHWAY","SCIMP","GO:0038123","Innate","PRR","PRR, TLR1:2, Pathway","All",1
"334","TRAM-DEPENDENT TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY","PRKCE,TICAM2,RAB11FIP2","GO:0035669","Innate","PRR","PRR, TLR4 TRAM dep, Pathway","All",3
"335","TRANSITIONAL ONE STAGE B CELL DIFFERENTIATION","ABL1","GO:0002333","Adaptive","Humoral","Differentiation, B cell, Transitional one stage","B cell",1
"336","TRIF-DEPENDENT TOLL-LIKE RECEPTOR SIGNALING PATHWAY","TICAM2,TICAM1,TLR4,CD40","GO:0035666","Innate","PRR","PRR, TLR TRIF dep, Pathway","All",4
"337","TYPE 2 IMMUNE RESPONSE","BCL6,FCER1A,IL10,IL33","GO:0042092","Adaptive","Cellular","Immune response, Th2","T cell",4
"338","TYPE I HYPERSENSITIVITY","FCER1A","GO:0016068","Adaptive","Humoral","Hypersensitivity, Type I","Allergy",1
"339","TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","IFNE,STAT2,HDAC4,STAT1,IFITM1,JAK1,OAS2,TYK2,IFNAR1,IFNAR2,IFI27,TRIM65,TBKBP1,IFITM3,SP100,C9JQL5,IFITM2,IFNA8,MAVS","GO:0060337","Innate","Interferon","Signaling, Interferon I, Pathway","Undefined",19
"340","TYPE II INTERFERON-MEDIATED SIGNALING PATHWAY","STAT1,IRF1,JAK1,IFNGR1,TYK2,HCK,IFNGR2,SP100","GO:0060333","Innate","Interferon","Signaling, Interferon II, Pathway","Undefined",8
"341","TYPE III INTERFERON-MEDIATED SIGNALING PATHWAY","IFNGR1,IFNLR1,IL10RB,IFNL1,TYK2,IFNL4,IFNGR2,IFNL3,JAK1,IFNL2","GO:0038196","Innate","Interferon","Signaling, Interferon III, Pathway","Undefined",10
"342","V(D)J RECOMBINATION","HMGB1,RAG2,RAG1,LIG4,HMGB2,PRKDC","GO:0033151","Adaptive","General","V(D)J Recombination","Lymphocyte",6
