"process","genes","go_term","immune_system","immune_sub_system","gene_set_short","immune_tissue","set_size"
"ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS IB","HLA-C,HLA-F,RAET1G,HLA-G,RAET1L,HLA-E,HFE,HLA-A,HLA-B,HLA-H,MICB,ULBP3,ULBP2,ULBP1,RAET1E,MICA",NA,NA,NA,NA,NA,NA
"ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS IB VIA ER PATHWAY, TAP-DEPENDENT","TAP2","GO:0002489","Innate","APP","APP, MHC IB, endogenous peptide, TAP-dependent","All",1
"ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS II","HLA-DRA,HLA-DRB1",NA,NA,NA,NA,NA,NA
"ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS ANTIGEN","PSME1,FCGR1A,MR1","GO:0019884","Innate","APP","APP, Exogenous antigen","APC",2
"ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS ANTIGEN","PSME1,FCGR1A,MR1",NA,NA,NA,NA,NA,NA
"ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I","FCGR1A,FCER1G,IFI30,MFSD6,HLA-A,CLEC4A","GO:0042590","Innate","APP","APP, MHC I, exogenous peptide","All",4
"ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I","FCGR1A,FCER1G,IFI30,MFSD6,HLA-A,CLEC4A",NA,NA,NA,NA,NA,NA
"ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I, TAP-DEPENDENT","IKBKB",NA,NA,NA,NA,NA,NA
"ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I, TAP-INDEPENDENT","LNPEP",NA,NA,NA,NA,NA,NA
"ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS IB","HLA-F,HLA-E","GO:0002477","Innate","APP","APP, MHC IB, exogenous peptide","All",2
"ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS II","IFI30,HLA-DOB,DNM2,HLA-DMB,HLA-DPA1,CTSE,FCGR2B,CTSS,HLA-DMA,HLA-DRB3,FCER1G,HLA-DRB4,B2M,CD74,CTSD,CTSL,CTSV,HLA-DOA,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,LGMN,TRAF6,CTSF,UNC93B1,PIKFYVE","GO:0019886","Innate","APP","APP, MHC II, exogenous peptide","APC",13
"ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS II","IFI30,HLA-DOB,DNM2,HLA-DMB,HLA-DPA1,CTSE,FCGR2B,CTSS,HLA-DMA,HLA-DRB3,FCER1G,HLA-DRB4,B2M,CD74,CTSD,CTSL,CTSV,HLA-DOA,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,LGMN,TRAF6,CTSF,UNC93B1,PIKFYVE",NA,NA,NA,NA,NA,NA
"ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PROTEIN ANTIGEN VIA MHC CLASS IB, TAP-DEPENDENT","B2M,TAP2","GO:0002481","Innate","APP","APP, MHC IB, exogenous peptide, TAP-dependent","All",2
"ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN","SLC11A1,CTSS,CTSL","GO:0048002","Innate","APP","APP, Peptide antigen","All",2
"ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN","SLC11A1,CTSS,CTSL",NA,NA,NA,NA,NA,NA
"ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN VIA MHC CLASS I","HLA-G,HLA-E,B2M,HLA-F,HLA-C,ACE,ERAP2,HLA-H,MR1,SAR1B,ERAP1","GO:0002474","Innate","APP","APP, MHC I, Peptide antigen","All",7
"ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN VIA MHC CLASS I","HLA-G,HLA-E,B2M,HLA-F,HLA-C,ACE,ERAP2,HLA-H,MR1,SAR1B,ERAP1",NA,NA,NA,NA,NA,NA
"ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN VIA MHC CLASS II","MARCHF1,MARCHF8",NA,NA,NA,NA,NA,NA
"ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE OR POLYSACCHARIDE ANTIGEN VIA MHC CLASS II","HLA-DRB3,HLA-DMB,HLA-DRB4,HLA-DMA,HLA-DOB,HLA-DPA1,HLA-DRA","GO:0002504","Innate","APP","APP, MHC II, polysacharide or peptide","APC",6
"ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE OR POLYSACCHARIDE ANTIGEN VIA MHC CLASS II","HLA-DRB3,HLA-DMB,HLA-DRB4,HLA-DMA,HLA-DOB,HLA-DPA1,HLA-DRA",NA,NA,NA,NA,NA,NA
"ANTIGEN PROCESSING AND PRESENTATION OF POLYSACCHARIDE ANTIGEN VIA MHC CLASS II","ARL8B",NA,NA,NA,NA,NA,NA
"ANTIGEN PROCESSING AND PRESENTATION, ENDOGENOUS LIPID ANTIGEN VIA MHC CLASS IB","CD1D,CD1B,CD1E,CD1C,CD1A","GO:0048006","Innate","APP","APP, MHC IB, Endogenous lipid antigen","All",4
"ANTIGEN PROCESSING AND PRESENTATION, ENDOGENOUS LIPID ANTIGEN VIA MHC CLASS IB","CD1D,CD1B,CD1E,CD1C,CD1A",NA,NA,NA,NA,NA,NA
"ANTIGEN PROCESSING AND PRESENTATION, EXOGENOUS LIPID ANTIGEN VIA MHC CLASS IB","CD1B,AP3B1,CD1E,CD1D,CD1C,CD1A,AP3D1","GO:0048007","Innate","APP","APP, MHC IB, Exogenous lipid antigen","All",5
"ANTIGEN PROCESSING AND PRESENTATION, EXOGENOUS LIPID ANTIGEN VIA MHC CLASS IB","CD1B,AP3B1,CD1E,CD1D,CD1C,CD1A,AP3D1",NA,NA,NA,NA,NA,NA
"ANTIGEN RECEPTOR-MEDIATED SIGNALING PATHWAY","CD19,BCAR1,LAX1,SH2B2,SPG21,SLA2","GO:0050851","General","Undefined","Signaling, Antigen receptor, Pathway","Undefined",3
"ANTIGEN RECEPTOR-MEDIATED SIGNALING PATHWAY","CD19,BCAR1,LAX1,SH2B2,SPG21,SLA2",NA,NA,NA,NA,NA,NA
"ANTIGEN TRANSCYTOSIS BY M CELLS IN MUCOSAL-ASSOCIATED LYMPHOID TISSUE","GP2","GO:0002412","Innate","M cells","Antigen transcytosis, M cells, Mucosa, Lymphoid tissue","M cells",1
"ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE","CXCL14,CXCL12,CAMP,DEFA1,FAU,CCL20,DEFB130A,TOR2A,CXCL1,DEFA3,DEFB131A,REG1B,H2BC10,ROMO1,TAC1,NTS,CXCL2,HAMP,S100A12,DEFA4,CXCL8,CXCL9,REG3A,GNLY,RNASE3,RPS19,BPI,REG3G,RPL30,DEFB1,LGALS3,PF4V1,H2BC12L,SPAG11A,CCL1,HTN1,DEFB103A,DEFA5,DEFA6,B2M,SPAG11B,CXCL6,CXCL3,NPPB,CXCL5,XCL1,CCL8,RPL39,HTN3,S100A7,DCD,F2,FAM3A,ADM,CCL18,ANG,DEFB4A,GAPDH,HMGN2,HRG,CXCL10,KRT6A,LTF,MUC7,PF4,PLA2G1B,PPBP,REG1A,RNASE6,S100A9,CCL13,CXCL11,SEMG1,H2BC8,H2BC7,H2BC6,H2BC4,H2BC21,H2BC11,PGLYRP1,CXCL13,BPIFA1,PGLYRP4,DEFB126,RNASE7,H2BC12,GALP,PGLYRP3,LEAP2,DEFB118,DEFB127,DEFA1B","GO:0061844","General","Humoral","Antimicrobial peptide-mediated immune response","Antimicrobial",55
"ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE","CXCL14,CXCL12,CAMP,DEFA1,FAU,CCL20,DEFB130A,TOR2A,CXCL1,DEFA3,DEFB131A,REG1B,H2BC10,ROMO1,TAC1,NTS,CXCL2,HAMP,S100A12,DEFA4,CXCL8,CXCL9,REG3A,GNLY,RNASE3,RPS19,BPI,REG3G,RPL30,DEFB1,LGALS3,PF4V1,H2BC12L,SPAG11A,CCL1,HTN1,DEFB103A,DEFA5,DEFA6,B2M,SPAG11B,CXCL6,CXCL3,NPPB,CXCL5,XCL1,CCL8,RPL39,HTN3,S100A7,DCD,F2,FAM3A,ADM,CCL18,ANG,DEFB4A,GAPDH,HMGN2,HRG,CXCL10,KRT6A,LTF,MUC7,PF4,PLA2G1B,PPBP,REG1A,RNASE6,S100A9,CCL13,CXCL11,SEMG1,H2BC8,H2BC7,H2BC6,H2BC4,H2BC21,H2BC11,PGLYRP1,CXCL13,BPIFA1,PGLYRP4,DEFB126,RNASE7,H2BC12,GALP,PGLYRP3,LEAP2,DEFB118,DEFB127,DEFA1B",NA,NA,NA,NA,NA,NA
"ANTIMICROBIAL HUMORAL RESPONSE","PRTN3,BCL3,DEFA4,LYZ,CST9LP1,CST9,SLC11A1,PRSS3,AZU1,PRSS2,COLEC11,CST9L","GO:0019730","General","Humoral","Antimicrobial humoral response","Antimicrobial",9
"ANTIMICROBIAL HUMORAL RESPONSE","PRTN3,BCL3,DEFA4,LYZ,CST9LP1,CST9,SLC11A1,PRSS3,AZU1,PRSS2,COLEC11,CST9L",NA,NA,NA,NA,NA,NA
"ANTIMICROBIAL RESPONSE","SEMG2,RNASE4,ADM,SPRR2A,FAM3A,CXCL14,DEFB130A,TOR2A,REG1B,ROMO1,NTS,REG3A,GNLY,RPL30,SPAG11A,HTN1,DEFB103A,SPAG11B,NPPB,HTN3,S100A7,DCD,LYZ,CST9LP1,CST9,PRSS3","Manual","General","Undefined",NA,NA,NA
"ANTIVIRAL AND INTERFERON","IFIT1,STAT1,IRF1,JAK1,IFNGR1,TYK2,HCK,IFNGR2,SP100,IFNLR1,IL10RB,IFNL1,IFNL4,IFNL3,IFNL2,RNF135,PHB1,TRIM65,UBE2N,MAVS,NMB,RIGI,NMBR,EIF2AK2,STING1,MBL2,NCK1,IFIT2,NLRP6,MX1,PDE12,IFNE,STAT2,HDAC4,IFITM1,OAS2,IFNAR1,IFNAR2,IFI27,TBKBP1,IFITM3,C9JQL5,IFITM2,IFNA8,DAPK1,WAS,CCL5,CCL4,STXBP1,NOS2,AQP4,CCL8,STXBP4,CD47,STX4,CLDN1,GBP6,CCL1,GBP2,CCL3,GBP1,CCL4L1,CCL3L1,ACTG1,RAB43,CCL18,CCL2,FCAR,IL12RB1,RPS6KB1,MRC1,CX3CL1,XCL1,TDGF1,TLR4,IRF8,CDC42,RPL13A,CCL20,LGALS9,STXBP3,MYO1C,ACTR2,CCL24,ACTR3,CASP1,FASLG,SIRPA,CCL7,CCL23,KIF5B,VIM,CD58,CALM1,GBP7,IL12B,WNT5A,HLA-DPA1,ACOD1,ADAMTS13,AIF1","Manual","Innate","Interferon and antiviral","Antiviral and inteferon","All",NA
"ANTIVIRAL INNATE IMMUNE RESPONSE","RNF135,PHB1,TRIM65,UBE2N,MAVS,NMB,RIGI,NMBR,IFIT1,EIF2AK2,STING1,MBL2,NCK1,IFIT2,NLRP6,MX1,PDE12,DHX15,CXCL10,OAS1,AKAP1,TRIM31,PHB2,NLRP1,CARD8,ZDHHC1,MARCHF2,ATAD3A,SENP7,IFIH1,DHX58,ZDHHC11,CLPB","GO:0140374","Innate","Antiviral","Antiviral innate immune response","Undefined",17
"ANTIVIRAL INNATE IMMUNE RESPONSE","RNF135,PHB1,TRIM65,UBE2N,MAVS,NMB,RIGI,NMBR,IFIT1,EIF2AK2,STING1,MBL2,NCK1,IFIT2,NLRP6,MX1,PDE12,DHX15,CXCL10,OAS1,AKAP1,TRIM31,PHB2,NLRP1,CARD8,ZDHHC1,MARCHF2,ATAD3A,SENP7,IFIH1,DHX58,ZDHHC11,CLPB",NA,NA,NA,NA,NA,NA
"ARPP","TAP2,TICAM1,TIRAP,SCIMP,PSME1,FCGR1A,HLA-F,HLA-E,B2M,SLC11A1,CTSS,MAP2K6,TNFAIP3,CALR,PDIA3,PIK3AP1,TNIP2,MBL2,LBP,CD14,NFKBIA,TLR4,XIAP,PRKCE,TICAM2,RAB11FIP2,FCER1G,IFI30,MFSD6,CD1D,CD1B,CD1E,CD1C,MAVS,RIGI,CGAS,STING1,CASP1,LACC1,RNF135,PHB1,LSM14A,CD40,TAP1,ERAP2,IDE,AP3B1,REG3G,HSPD1,BTK,RAET1L,RAET1G,HLA-C,HLA-G,HLA-DRB3,HLA-DMB,HLA-DRB4,HLA-DMA,HLA-DOB,HLA-DPA1,IRGM,RELA,ACE,SYK,PLCG2,KLRC1,EP300,CLEC6A,KLRC2,KLRC3,SRC,KLRK1,NAGLU,FOSL1,RPS6KA3,MAPKAPK2,BCL10,DNM2,CTSE,FCGR2B,RAB27A,CTSH,RELB,RAB4A,PSMB8,RAB5B,WDFY4,RAB3B,RAB10,RAB6A","Manual","Innate","APC","Antigen recognition processing and presentation","All",NA
"ASTROCYTE ACTIVATION INVOLVED IN IMMUNE RESPONSE","PSEN1,LRP1,GRN,APP","GO:0002265","Innate","Innate","Activation, Astrocyte","Astrocyte",3
"ASTROCYTE ACTIVATION INVOLVED IN IMMUNE RESPONSE","PSEN1,LRP1,GRN,APP",NA,NA,NA,NA,NA,NA
"B CELL ACTIVATION","TICAM1,BANK1,CXCR5,TBC1D10C,CD79A,CHRNA4,CD40,GAPT,PHB1,CHRNA7,MS4A1,LAX1,RASGRP1,HSPD1,BTK,ZAP70,CD86,CD22,CHRNB2,TXLNA,BST2,AKAP17A,EPHB2,HDAC4,CASP8,IGBP1,PIK3CD,PRKCB,LAT2,SKAP2,HDAC9,HDAC5,MALT1,PHB2,ICOSLG,FCRL1,MIR19A","GO:0042113","Adaptive","Humoral","Activation, B cell","B cell",25
"B CELL ACTIVATION","TICAM1,BANK1,CXCR5,TBC1D10C,CD79A,CHRNA4,CD40,GAPT,PHB1,CHRNA7,MS4A1,LAX1,RASGRP1,HSPD1,BTK,ZAP70,CD86,CD22,CHRNB2,TXLNA,BST2,AKAP17A,EPHB2,HDAC4,CASP8,IGBP1,PIK3CD,PRKCB,LAT2,SKAP2,HDAC9,HDAC5,MALT1,PHB2,ICOSLG,FCRL1,MIR19A",NA,NA,NA,NA,NA,NA
"B CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE","GPR183,IFNB1","GO:0002312","Adaptive","Humoral","Activation, Immune response, B cell","B cell",1
"B CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE","GPR183,IFNB1",NA,NA,NA,NA,NA,NA
"B CELL AFFINITY MATURATION","BTK,TRAF3IP2","GO:0002344","Adaptive","Humoral","Affinity maturation, B cell","B cell",1
"B CELL AFFINITY MATURATION","BTK,TRAF3IP2",NA,NA,NA,NA,NA,NA
"B CELL CHEMOTAXIS","CH25H,GAS6,PIK3CD,CYP7B1,CXCL13,HSD3B7","GO:0035754","Adaptive","Humoral","Chemotaxis, B cell","B cell",1
"B CELL CHEMOTAXIS","CH25H,GAS6,PIK3CD,CYP7B1,CXCL13,HSD3B7",NA,NA,NA,NA,NA,NA
"B CELL COSTIMULATION","IL4,TNFSF13B,CD320,TNFRSF13C",NA,NA,NA,NA,NA,NA
"B CELL DIFFERENTIATION","PLCG2,PTPRC,PAX5,TOP2B,IFNA8,PIK3R1,RAG1,MSH2,RAG2,IL2RG,ADGRG3,FZD9,MS4A1,EP300,PTPRJ,YY1,STAT5B,PTPN2,LYL1,SYK,CEBPG,JAK3,CD79B,CD79A,CR2,BCL6,KIT,SP3,ZBTB7A,NFAM1,ITGA4,CD40LG,IL10,IL11,BCL2,HDAC4,TPD52,TCF3,RBPJ,FOSL2,IFNE,HHEX,FLT3,VCAM1,ADAM17,IL9,CDH17,SLC25A5,AQP8,KLF6,EZH2,GPS2,ONECUT1,IFNA1,IFNA2,IFNA4,IFNA5,IFNA6,IFNA7,IFNA10,IFNA13,IFNA14,IFNA16,IFNA17,IFNA21,IFNB1,IFNW1,IL4,ITGB1,DNAJB9,NTRK1,PIK3CD,PIK3R2,SLC39A7,PIK3R3,DCAF1,HDAC9,HDAC5,TCIRG1,TNFSF13B,IKZF3,ZBTB1,CLCF1,BLNK,IFNK,AICDA,DCLRE1C,NHEJ1,CARD11,FNIP1,RABL3","GO:0030183","Adaptive","Humoral","Differentiation, B cell","B cell",47
"B CELL DIFFERENTIATION","PLCG2,PTPRC,PAX5,TOP2B,IFNA8,PIK3R1,RAG1,MSH2,RAG2,IL2RG,ADGRG3,FZD9,MS4A1,EP300,PTPRJ,YY1,STAT5B,PTPN2,LYL1,SYK,CEBPG,JAK3,CD79B,CD79A,CR2,BCL6,KIT,SP3,ZBTB7A,NFAM1,ITGA4,CD40LG,IL10,IL11,BCL2,HDAC4,TPD52,TCF3,RBPJ,FOSL2,IFNE,HHEX,FLT3,VCAM1,ADAM17,IL9,CDH17,SLC25A5,AQP8,KLF6,EZH2,GPS2,ONECUT1,IFNA1,IFNA2,IFNA4,IFNA5,IFNA6,IFNA7,IFNA10,IFNA13,IFNA14,IFNA16,IFNA17,IFNA21,IFNB1,IFNW1,IL4,ITGB1,DNAJB9,NTRK1,PIK3CD,PIK3R2,SLC39A7,PIK3R3,DCAF1,HDAC9,HDAC5,TCIRG1,TNFSF13B,IKZF3,ZBTB1,CLCF1,BLNK,IFNK,AICDA,DCLRE1C,NHEJ1,CARD11,FNIP1,RABL3",NA,NA,NA,NA,NA,NA
"B CELL HOMEOSTASIS","SPNS2,BAX,BCL2,GAPT,CAMLG,MEF2C,IL7R,RC3H1,SOS2,SOS1,NCKAP1L,CASP3,BAK1,LYN,PKN1,BCL2L11,TNFSF13B,TRAF3IP2,TNFRSF13B,FOXP3,SASH3,RC3H2,PPP2R3C,DOCK10,DOCK11,MIR17HG","GO:0001782","Adaptive","Humoral","Homeostasis, B cell","B cell",12
"B CELL HOMEOSTASIS","SPNS2,BAX,BCL2,GAPT,CAMLG,MEF2C,IL7R,RC3H1,SOS2,SOS1,NCKAP1L,CASP3,BAK1,LYN,PKN1,BCL2L11,TNFSF13B,TRAF3IP2,TNFRSF13B,FOXP3,SASH3,RC3H2,PPP2R3C,DOCK10,DOCK11,MIR17HG",NA,NA,NA,NA,NA,NA
"B CELL HOMEOSTATIC PROLIFERATION","BAX,RAG2","GO:0002358","Adaptive","Humoral","Homeostatic proliferation, B cell","B cell",2
"B CELL LINEAGE COMMITMENT","TCF3,BCL2,RAG2,PRKDC,TP53","GO:0002326","Adaptive","Humoral","Lineage commitment, B cell","B cell",4
"B CELL LINEAGE COMMITMENT","TCF3,BCL2,RAG2,PRKDC,TP53",NA,NA,NA,NA,NA,NA
"B CELL MEDIATED IMMUNITY","CD40,MSH2,CD70,CD19,SLA2","GO:0019724","Adaptive","Humoral","Immunity, B cell","B cell",4
"B CELL MEDIATED IMMUNITY","CD40,MSH2,CD70,CD19,SLA2",NA,NA,NA,NA,NA,NA
"B CELL NEGATIVE SELECTION","BAX,BAK1","GO:0002352","Adaptive","Humoral","Negative selection, B cell","B cell",1
"B CELL NEGATIVE SELECTION","BAX,BAK1",NA,NA,NA,NA,NA,NA
"B CELL PROLIFERATION","TICAM1,BCL2,MEF2C,CD70,TLR4,IL9,CD40,BCL6,RASGRP1,PTPRC,MS4A1,CD79A,HSPD1,CD40LG,IFNA8,IL10,ABL1,IL7,CR2,PRKCD,CTPS1,IL7R,CD38,IFNE,FOSL2,WNT3A,ADA,IFNA1,IFNA2,IFNA4,IFNA5,IFNA6,IFNA7,IFNA10,IFNA13,IFNA14,IFNA16,IFNA17,IFNA21,IFNB1,IFNW1,SHB,TNFSF13B,LEF1,SASH3,IFNK,NFKBIZ,CARD11","GO:0042100","Adaptive","Humoral","Proliferation, B cell","B cell",26
"B CELL PROLIFERATION","TICAM1,BCL2,MEF2C,CD70,TLR4,IL9,CD40,BCL6,RASGRP1,PTPRC,MS4A1,CD79A,HSPD1,CD40LG,IFNA8,IL10,ABL1,IL7,CR2,PRKCD,CTPS1,IL7R,CD38,IFNE,FOSL2,WNT3A,ADA,IFNA1,IFNA2,IFNA4,IFNA5,IFNA6,IFNA7,IFNA10,IFNA13,IFNA14,IFNA16,IFNA17,IFNA21,IFNB1,IFNW1,SHB,TNFSF13B,LEF1,SASH3,IFNK,NFKBIZ,CARD11",NA,NA,NA,NA,NA,NA
"B CELL PROLIFERATION INVOLVED IN IMMUNE RESPONSE","ABL1,CD19,TLR4,GAPT,CD180,PLCL2","GO:0002322","Adaptive","Humoral","Proliferation, Immune response, B cell","B cell",4
"B CELL PROLIFERATION INVOLVED IN IMMUNE RESPONSE","ABL1,CD19,TLR4,GAPT,CD180,PLCL2",NA,NA,NA,NA,NA,NA
"B CELL RECEPTOR APOPTOTIC SIGNALING PATHWAY","BAX,NFKBIZ","GO:1990117","Adaptive","Humoral","Apoptotic signaling, BCR, B cell","B cell",1
"B CELL RECEPTOR APOPTOTIC SIGNALING PATHWAY","BAX,NFKBIZ",NA,NA,NA,NA,NA,NA
"B CELL RECEPTOR SIGNALING PATHWAY","CD79A,BTK,ABL1,BCAR1,BCL2,CTLA4,CD79B,SYK,GRB2,CD19,MEF2C,MNDA,PLCG2,PTPRC,NCKAP1L,SOS1,ITK,MAPK1,BMX,NFKBIA,PTPN6,MS4A1,TEC,CD38,NFAM1,NFKB1,BANK1,BLK,IGHA1,IGHA2,IGHD,IGHE,IGHG1,IGHG2,IGHG3,IGHG4,IGHM,IGKC,IGLC1,IGLC3,IGLC6,LCK,LYN,NFATC2,PIK3CD,PRKCB,LAT2,VAV3,SH2B2,RFTN1,IGLC7,BLNK,LIME1,PLEKHA1,KLHL6,TMIGD2","GO:0050853","Adaptive","Humoral","Signaling, BCR, B cell","B cell",31
"B CELL RECEPTOR SIGNALING PATHWAY","CD79A,BTK,ABL1,BCAR1,BCL2,CTLA4,CD79B,SYK,GRB2,CD19,MEF2C,MNDA,PLCG2,PTPRC,NCKAP1L,SOS1,ITK,MAPK1,BMX,NFKBIA,PTPN6,MS4A1,TEC,CD38,NFAM1,NFKB1,BANK1,BLK,IGHA1,IGHA2,IGHD,IGHE,IGHG1,IGHG2,IGHG3,IGHG4,IGHM,IGKC,IGLC1,IGLC3,IGLC6,LCK,LYN,NFATC2,PIK3CD,PRKCB,LAT2,VAV3,SH2B2,RFTN1,IGLC7,BLNK,LIME1,PLEKHA1,KLHL6,TMIGD2",NA,NA,NA,NA,NA,NA
"B CELLS","GPR183,BTK,CH25H,BAX,CD19,YY1,HSPD1,IL2RG,ST3GAL1,HLA-G,LRRC8A,ABL1,RAG2,TNFAIP3,WNT4,CLEC4G,BCL6,STAT6,RAG1,GATA3,SPI1,MLH1,MSH2,CDH17,IRF8,BCL3,ZP3,CD81,TCF3,PRKDC,LIG4,SHLD3,SHLD1,SHLD2,BCL2,CD40,CD70,TLR4,GAPT,FCGR2B,PLCG2,LFNG,NOTCH2,C17orf99,IRF2BP2,KIT,SYVN1,PTX3,SFTPA1,LBP,C4B,MBL2,UNG,MSH6,PMS2,MSH3,ERCC1,CD40LG,RNF168,SANBR,SPNS2,CAMLG,MEF2C,IL7R,RC3H1,SOS2,SOS1,NCKAP1L,CASP3,LIMK1,VAV2,SRC,VAV1,SYK,PRKCE,MYO1G,HCK,PTK2,PRKCD,FGR,PLPP4,TICAM1,BANK1,CXCR5,TBC1D10C,CD79A,CHRNA4,PHB1,CHRNA7,MS4A1,LAX1,RASGRP1,ZAP70,CD86,CD22,CHRNB2,TXLNA,BST2,AKAP17A,EPHB2,HDAC4,IL9,PTPRC,IFNA8,IL10,IL7,CR2,CTPS1,CD38,IFNE,FOSL2,WNT3A,BCAR1,CTLA4,CD79B,GRB2,MNDA,ITK,MAPK1,BMX,NFKBIA,PTPN6,TEC,NFAM1,NFKB1,PAX5,TOP2B,PIK3R1,ADGRG3,FZD9,EP300,PTPRJ,STAT5B,PTPN2,LYL1,CEBPG,JAK3,SP3,ZBTB7A,ITGA4,IL11,TPD52,RBPJ,HHEX,FLT3,VCAM1,ADAM17,IL4R,IL9R,MPL,BCL10,FCER1G,IL2RB,CD27,CSF2RB","Manual","Adaptive","Humoral","B cells","B cell",NA
"B-1 B CELL DIFFERENTIATION","CD19,MALT1","GO:0001923","Adaptive","Humoral","Differentiation, B-1 B cell","B cell",1
"B-1 B CELL DIFFERENTIATION","CD19,MALT1",NA,NA,NA,NA,NA,NA
"B-1 B CELL HOMEOSTASIS","TNFAIP3,ABL1,HIF1A,SH2B2","GO:0001922","Adaptive","Humoral","Homeostasis, B-1 B cell","B cell",2
"B-1 B CELL HOMEOSTASIS","TNFAIP3,ABL1,HIF1A,SH2B2",NA,NA,NA,NA,NA,NA
"B-1 B CELL LINEAGE COMMITMENT","SLAMF8",NA,NA,NA,NA,NA,NA
"B-1A B CELL DIFFERENTIATION","PLCL2,CMTM7",NA,NA,NA,NA,NA,NA
"BASOPHIL ACTIVATION","PRG3",NA,NA,NA,NA,NA,NA
"BASOPHIL ACTIVATION INVOLVED IN IMMUNE RESPONSE","KARS1,ENPP3",NA,NA,NA,NA,NA,NA
"BASOPHIL CHEMOTAXIS","VEGFA","GO:0002575","Innate","Innate","Chemotaxis, Basophil","Basophil",1
"BASOPHIL HOMEOSTASIS","MPL","GO:1990960","Innate","Innate","Homeostasis, Basophil","Basophil",1
"BCR REPERTOIRE","IGBP1,IGLC1,IGLC3,IGLC7,IGLC6,IGHV1-2,IGHV1-3,IGHV3-74,IGLC2,IGHV4-61,IGHV4-30-2,IGHV3-21,IGHV3-38-3,IGHV8-51-1,IGHV3-16,IGHV3-66,IGHV3-30-3,IGHV3-73,IGHV3-72,IGHV1-24,IGHV1-8,IGHV1-58,IGHV3-35,IGHV3-30-5,IGHV1-45,IGHV3-64,IGHV4-28,IGHV3-64D,IGHV7-81,IGHV2-70D,IGHV3-38,IGHV3-15,IGHV3-49,IGHV4-30-4,IGHV4-38-2,IGHV3-43D,IGHV1-18,IGHV5-10-1,IGHV7-4-1,IGLL5,IGHV3-43,IGHV2-26,IGHV4-31,IGHV3-20,IGHV1-69D,IGHV5-51,IGLL1,IGHV1-69-2,IGHV6-1,IGHV1-38-4,IGHV4-4,IGKV6D-41,IGKV1D-37,IGKV2D-29,IGKV6D-21,IGKV2-29,IGLJ1,IGLV3-21,IGLV3-10,IGHJ1,IGKV2D-26,IGKV3D-11,IGLV3-16,IGKV1D-42,IGKV1D-43,IGLV1-36,IGKV2-28,IGLV5-37,IGKJ1,IGKV1-27,IGKV3D-20,IGLV9-49,IGLV1-50,IGKV3D-7,IGKV1-8,IGKV1-6,IGLV3-12,IGLV3-32,IGLV3-9,IGKV1-37,IGLV10-54,IGHD1-1,IGKV2-40,IGKV2D-24,IGKV6-21,IGKV1-13,IGKV1D-17,IGLV5-48,IGKV1-12,IGKV3-7,IGLV5-52,IGLV11-55,IGLV5-39,IGKV1-9,IGLV2-33,IGLV3-22,IGLV5-45,IGKV3D-15,IGLV7-46,IGKV2-24,IGKV1D-13,IGLV4-3,IGLV2-18,IGKV2D-30,IGLV4-60,IGLV4-69,IGLV8-61,IGKV1D-8","Manual","Adaptive","Humoral","BCR REPERTOIRE","B cell",NA
